	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YER062C	YER062C	16736.2998191841	7.90127147079704	0.40845179429395	19.3444405953833	2.27054667487622e-83	1.329859187475e-79
YDR536W	YDR536W	10092.2023869729	7.87603322525586	0.411236162914319	19.1520929712031	9.29739037023764e-82	2.72274076992409e-78
YHR094C	YHR094C	8498.83562752299	7.88360863680347	0.43167308609751	18.2629144385033	1.63335326169256e-74	3.18885001791112e-71
YNL065W	YNL065W	2110.55372157609	7.787133611892	0.466827589120331	16.6809627223741	1.80289828216131e-62	2.6398938096547e-59
YKL120W	YKL120W	1728.01315158896	7.27108824584289	0.482417706901496	15.0721835907395	2.46818692447107e-51	2.89123416332541e-48
YJL122W	YJL122W	1292.22774237829	6.49662387086575	0.432686320181206	15.0146273821299	5.88918813976812e-51	5.74882915577031e-48
YLR264W	YLR264W	1389.14773530882	6.48538096077451	0.432245763224481	15.0039202522071	6.92080136064816e-51	5.79073336704518e-48
YGR159C	YGR159C	8024.97093258223	6.76862466368808	0.45188737702627	14.9785654740575	1.01381727796602e-50	7.4224097463087e-48
YNL112W	YNL112W	5331.38153040545	7.36500786928173	0.493794798133187	14.9151183793865	2.62810765028772e-50	1.71031405641502e-47
YOR271C	YOR271C	1052.80836788392	6.84565619398216	0.472880550775321	14.4765019046739	1.70559065225151e-47	9.98964445023711e-45
YJL108C	YJL108C	955.542211449698	5.99768859107938	0.427846706593544	14.0183119295977	1.20445603332062e-44	6.41318089741715e-42
YJL107C	YJL107C	845.878553570073	6.1735389786455	0.443106795396205	13.932395176033	4.02623380606607e-44	1.96513761684408e-41
YOR360C	YOR360C	1923.9392243914	5.66044310810856	0.406928381229527	13.9101703621793	5.49484134866668e-44	2.47563736762621e-41
YOL124C	YOL124C	594.360525536296	7.80563109553353	0.562880566917934	13.8672953985131	9.99759395665133e-44	4.18256484315049e-41
YOL136C	YOL136C	1162.4667812795	5.71083839464004	0.416405618984676	13.7146045448782	8.30177818335131e-43	3.24156765465924e-40
YER127W	YER127W	731.180138534669	5.98213351453107	0.441287232936967	13.5560992207213	7.29116546739308e-42	2.66902225890758e-39
YLR180W	YLR180W	1932.35565655286	6.78203685304358	0.504265197370095	13.4493454801443	3.10609441116043e-41	1.07014088036274e-38
YCR072C	YCR072C	701.314160077187	5.89637874153941	0.439055153144612	13.4296994336776	4.05052158411801e-41	1.31799471767662e-38
YNL141W	YNL141W	2902.03942257208	6.4741713309993	0.482536652620224	13.4169524653596	4.81093630723326e-41	1.48303441849817e-38
YML043C	YML043C	522.398945525935	6.41567944622517	0.48182174293281	13.3154627003204	1.88202857959486e-40	5.51152069534354e-38
YMR300C	YMR300C	1597.37691932834	5.81652818811836	0.439648488797536	13.229951509732	5.8925374905987e-40	1.64345676583031e-37
YEL026W	YEL026W	2039.18401771376	5.36924227703627	0.409781283782603	13.1027025623863	3.17738731368802e-39	8.45907158921397e-37
YOR359W	YOR359W	478.136489492579	6.35832178312644	0.486299338275179	13.0749135001465	4.58084732135867e-39	1.16652272874773e-36
YHR066W	YHR066W	1306.21356503264	5.58439910194951	0.428208386026442	13.0413118569907	7.12209507993324e-39	1.73808795346537e-36
YGR079W	YGR079W	1514.88526701155	5.3299931355267	0.409053812192808	13.0300536913574	8.25495457808057e-39	1.93397075855272e-36
YIR012W	YIR012W	1539.94907253575	5.33336779598387	0.414694585141925	12.8609535476779	7.46500578560916e-38	1.68163611101203e-35
YJL148W	YJL148W	1278.40078716393	5.22809307052848	0.407570468879891	12.8274579973781	1.15078232168151e-37	2.49634520669949e-35
YOL041C	YOL041C	1902.13958128702	5.6908613519991	0.444000835220616	12.8172311864491	1.31306203675457e-37	2.74664441045412e-35
